COUNTRY,WHO_REGION,DATE_UPDATED,TOTAL,FULLY_VACCINATED,RATE
Guinea,Africa,2021/11/25,2558579,903480,12.60%
Guinea-Bissau,Africa,2021/11/25,365089,18411,17.60%
Guyana,Americas,2021/11/19,660221,266127,50.10%
Haiti,Americas,2021/11/19,158479,51823,0.90%
Honduras,Americas,2021/11/19,7916340,3928749,40.30%
Hungary,Europe,2021/11/21,13369134,5573306,61.10%
Iceland,Europe,2021/11/21,612771,225405,78.00%
India,South-East Asia,2021/11/23,1183573646,412951566,55.80%
Indonesia,South-East Asia,2021/11/23,226236243,90520201,49.60%
Iran (Islamic Republic of),Eastern Mediterranean,2021/11/21,101856938,44610761,67.30%
Iraq,Eastern Mediterranean,2021/11/24,11715365,4468867,18.00%
Ireland,Europe,2021/11/21,7977391,3544763,77.50%
Isle of Man,Europe,2021/11/23,132973,64766,80.20%
Israel,Europe,2021/11/7,12642233,6023688,76.50%
Italy,Europe,2021/11/21,92962070,42021653,78.20%
Jamaica,Americas,2021/11/19,1067575,488824,21.70%
Japan,Western Pacific,2021/11/18,195490201,96059314,78.60%
Jersey,Europe,2021/11/17,181102,74973,73.70%
Jordan,Eastern Mediterranean,2021/11/25,7912083,3714822,40.30%
Kazakhstan,Europe,2021/11/21,16570881,7926608,46.00%
Kenya,Africa,2021/11/24,6700134,2556755,7.70%
Kiribati,Western Pacific,2021/11/19,82167,22675,49.80%
Kosovo,Europe,2021/11/14,1594449,749432,47.10%
Kyrgyzstan,Europe,2021/11/14,1825313,806123,15.60%
Lao People's Democratic Republic,Western Pacific,2021/11/23,5830021,3099003,51.50%
Latvia,Europe,2021/11/21,2107009,855681,63.10%
Lebanon,Eastern Mediterranean,2021/11/25,3858764,1758195,29.50%
Lesotho,Africa,2021/11/17,617671,572287,27.20%
Liberia,Africa,2021/11/18,589628,456623,9.80%
Libya,Eastern Mediterranean,2021/11/24,2291638,630306,24.20%
Lithuania,Europe,2021/10/31,3386178,1491396,65.00%
Luxembourg,Europe,2021/11/21,855118,374616,69.10%
Madagascar,Africa,2021/11/22,625884,425211,1.70%
Malawi,Africa,2021/11/24,1390496,595701,5.50%
Malaysia,Western Pacific,2021/11/19,51512958,24939160,79.20%
Maldives,South-East Asia,2021/11/21,757699,362326,73.10%
Mali,Africa,2021/11/24,734759,312488,3.00%
Malta,Europe,2021/11/21,901147,387955,82.50%
Marshall Islands,Western Pacific,2021/11/24,44644,21715,41.80%
Martinique,Americas,2021/11/19,267746,125229,35.90%
Mauritania,Africa,2021/11/24,1730365,672818,22.70%
Mauritius,Africa,2021/11/23,1875132,914936,72.10%
Mexico,Americas,2021/11/19,130244910,63690510,58.60%
Micronesia (Federated States of),Western Pacific,2021/11/24,78270,42077,41.40%
Monaco,Europe,2021/9/16,49980,23308,68.00%
Mongolia,Western Pacific,2021/11/19,4959860,2147026,68.90%
Montenegro,Europe,2021/11/21,489237,227760,42.00%
Montserrat,Americas,2021/11/19,2949,1423,30.50%
